costo,nombre,precio_venta,referencia_interna,unidad_medida,categoria_producto,archivo_imagen,imagen_url
233.0,100/20 MPPT BLUESOLAR,390.0,MPPT 100/20,Unidades,CONTROLADORES,MPPT_100_20.jpg,http://localhost:3000/uploads/MPPT_100_20.jpg
410.0,100/30 MPPT BLUESOLAR,550.0,MPPT 100/30,Unidades,CONTROLADORES,MPPT_100_30.jpg,http://localhost:3000/uploads/MPPT_100_30.jpg
147.0,100W PANEL SOLAR MONO INT. 18.8V -5.32A,240.0,430 - 450 W/D,Unidades,PANELES,430_-_450_W_D.jpg,http://localhost:3000/uploads/430_-_450_W_D.jpg
112.5,12/24V 10A PWM-LCD USB BLUESOLAR,150.0,PWM/10A,Unidades,CONTROLADORES,PWM_10A.jpg,http://localhost:3000/uploads/PWM_10A.jpg
158.0,12/24V 30A PWM-Light BLUESOLAR,200.0,PWM-Light 30A ,Unidades,CONTROLADORES,PWM-Light_30A.jpg,http://localhost:3000/uploads/PWM-Light_30A.jpg
1024.0,12/800 INVERSOR,1331.0,12-800 230V,Unidades,INVERSORES,12-800_230V.jpg,http://localhost:3000/uploads/12-800_230V.jpg
568.0,12V 100AH BATERIA RITAR AGM,700.0,RA12-100,Unidades,BATERIAS,RA12-100.jpg,http://localhost:3000/uploads/RA12-100.jpg
680.0,12V-150AH BATERIA GEL CICLO PROFUNDO INTIPOWER,1050.0,,Unidades,BATERIAS,12V-150AH_BATERIA_GEL_CICLO_PROFUNDO_INTIPOWER.jpg,http://localhost:3000/uploads/12V-150AH_BATERIA_GEL_CICLO_PROFUNDO_INTIPOWER.jpg
0.0,150/35 MPPT BLUESOLAR,980.0,MPPT 150/35,Unidades,CONTROLADORES,MPPT_150_35.jpg,http://localhost:3000/uploads/MPPT_150_35.jpg
215.0,150W PANEL  SOLAR MONO. INT. 19.20V - 7.82A,300.0,645 - 657W/D,Unidades,PANELES,645_-_657W_D.jpg,http://localhost:3000/uploads/645_-_657W_D.jpg
566.0,24/500 INVERSOR VICTRON PHOENIX  24V 500VA,792.0,24/500 230V,Unidades,INVERSORES,24_500_230V.jpg,http://localhost:3000/uploads/24_500_230V.jpg
960.0,24/800 INVERSOR,1230.0,24/800 230V,Unidades,INVERSORES,24_800_230V.jpg,http://localhost:3000/uploads/24_800_230V.jpg
310.0,250W PANEL SOLAR MONO -INTI 19.8V-13.6A,400.0,,Unidades,PANELES,250W_PANEL_SOLAR_MONO_-INTI_19.8V-13.6A.jpg,http://localhost:3000/uploads/250W_PANEL_SOLAR_MONO_-INTI_19.8V-13.6A.jpg
650.0,570W PANEL SOLAR TRINA 38.40V - 14.84A,580.0,2451 - 2565W/D,Unidades,PANELES,2451_-_2565W_D.jpg,http://localhost:3000/uploads/2451_-_2565W_D.jpg
320.0,610W PANEL SOLAR BIFACIAL ASTROENERGY 41.30V - 14.77A,650.0,2623 - 2745W/D,Unidades,PANELES,2623_-_2745W_D.jpg,http://localhost:3000/uploads/2623_-_2745W_D.jpg
220.0,75/15 BLUE SOLAR  MPPT BLUESOLAR,350.0,MPPT 75/15,Unidades,CONTROLADORES,MPPT_75_15.jpg,http://localhost:3000/uploads/MPPT_75_15.jpg
220.0,CAM IP 4MP BULLET HK-DS2CD1043G2-I,340.0,HK-DS2CD1043G2-I,Unidades,CAMARAS IP,HK-DS2CD1043G2-I.jpg,http://localhost:3000/uploads/HK-DS2CD1043G2-I.jpg
